station_id,name,lat,lon,address,capacity,current
111,111 - MACACHA GUEMES,-34.6055,-58.3647,Macacha Guemes 350,30,1
112,112 - 9 de Julio,-34.6121,-58.3804,Bernardo Irigoyen 320,20,1
114,114 - TORRE MACRO,-34.594,-58.3714, Av. Eduardo Madero 1180,12,1
116,116 - HOSPITAL ALEMÁN,-34.5922,-58.4026,Beruti & Ecuador,12,1
117,117 - HUMBERTO 1°,-34.6196,-58.3732,Av. Carlos Calvo 513,20,1
118,118 - MEXICO,-34.617,-58.4027,Saavedra & Mexico,20,1
120,120 - HOSPITAL RAMOS MEJIA,-34.6175,-58.4093,3084 Agrelo,19,1
121,121 - YATAY,-34.6012,-58.4285,925 Yatay& Humahuaca,20,1
122,122 - COSTA RICA,-34.5916,-58.4198,COSTA RICA 4060,24,1
124,124 - UGARTECHE,-34.5805,-58.412,3050 Ugarteche,20,1
126,126 - Ministerio de Justicia y Seguridad,-34.6392,-58.3696,Olavarría 1201,16,1
128,128 - PARQUE DEL BAJO,-34.6052,-58.3688,Tte. Gral. Juan Domingo Perón 133,28,1
130,130 - RETIRO II,-34.5917,-58.3744,Av. Dr. José María Ramos Mejía 1350,40,1
131,131- HOSPITAL DE CLÍNICAS,-34.5984,-58.399,"Uriburu Jose E., Pres. & Paraguay",16,1
132,132 - CORRIENTES,-34.6034,-58.3728,Reconquista & Corrientes Av.,12,1
134,134 - SOLDADO DE LA FRONTERA,-34.6832,-58.469,Ana Díaz 5899,12,1
135,135 - MARCELO T. DE ALVEAR,-34.5976,-58.3784,Esmeralda & Paraguay,20,1
137,137 - AZOPARDO Y CHILE,-34.6156,-58.3675,AZOPARDO 700,24,1
138,138 - Hospital Britanico,-34.6354,-58.3877,153 Perdriel,12,1
144,144 - PUEYRREDÓN,-34.6019,-58.4061,684 Boulogne Sur Mer & Tucuman,20,1
146,146 - Hospital Francés,-34.6221,-58.4078,"3024 Calvo, Carlos",20,1
148,323 - Parque Avellaneda II,-34.6452,-58.4846,Av. Directorio 4295 ,16,1
149,149 - LIMA,-34.6153,-58.3814,México & Lima,16,1
150,150 - RODRIGO BUENO,-34.6188,-58.3555,Av. España 2200,36,1
152,152 - JULIETA LANTERI,-34.6182,-58.3596,"Vera Peñaloza, Rosario 599 & Lanteri Julieta",28,1
153,153 - JUAN MANUEL DE BLANES,-34.631,-58.3629,Av. Almirante Brown 653,20,0
155,155 - Parque José Evaristo Uriburu,-34.6451,-58.4175, Quilmes 491,12,1
156,156 - Plaza Alemania,-34.5776,-58.4075,2939 Cavia,20,1
158,158 - VILLARROEL,-34.5927,-58.4451,1321 Villarroel & Humboldt CABA,20,1
161,161 - Humahuaca,-34.6021,-58.4197,3912 Humahuaca,20,1
162,162 - LARREA Y BARTOLOMÉ MITRE,-34.609,-58.4019,80 Larrea,20,1
163,163 - ONCE II,-34.6096,-58.4064,Bartolome Mitre & Av. Puyrredon,30,1
164,164 - FACULTAD DE INGENIERIA,-34.6173,-58.3699,AV. PASEO COLÓN 811,20,1
165,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,-34.597,-58.4076,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,12,1
166,166 - Cementerio de Recoleta,-34.5883,-58.3941,Vicente López 2100,12,1
167,275 - PLAZA 24 DE SEPTIEMBRE,-34.607,-58.4485,1355 San Martin Av.,24,1
168,168 - Estados Unidos,-34.6186,-58.3812,Estados Unidos & Lima,19,0
169,169 - FACULTAD DE PSICOLOGIA,-34.6131,-58.415,Av. Hipólito Yrigoyen 3417,20,0
171,171 - Pasteur,-34.6033,-58.3998,519 Pasteur,20,1
172,172 - BRASIL,-34.6254,-58.3711,BRASIL&DEFENSA,16,1
174,174 - MINISTERIO DE EDUCACION,-34.5972,-58.3918,Marcelo T. de Alvear & Rodriguez Peña,20,1
175,147 - Constitución,-34.6269,-58.3807,Avenida Juan de Garay 1050,54,1
176,067 - PARQUE SARMIENTO I,-34.5553,-58.4948,Av. Dr. Ricardo Balbín 4402,16,1
177,177 -PLANETARIO,-34.5682,-58.4121,Av Casares y Av Belisario Roldan,12,1
179,179 - CASA SAN,-34.6385,-58.3643,Olavarría 811,16,1
181,181 - BILLINGHURST Y MANSILLA,-34.5927,-58.412,"1520 Billinghurst & Mansilla, Lucio Norberto, General",20,1
182,182 - RAVIGNANI Y GUATEMALA,-34.578,-58.4352,"2185 Ravignani, Emilio, Dr. & Guatemala",20,1
183,183 - VIRREY CEVALLOS,-34.6157,-58.39,Mexico 1652,28,1
184,184 - Pedro Echague,-34.6306,-58.3913,Pedro Echague 1878 & Combate De Los Pozos,20,1
186,186 - MANZANA 66,-34.6136,-58.4064,2875 Moreno,20,1
187,261 - QUINTEROS LIDORO,-34.5526,-58.4509,"1483 Quinteros, Lidoro J. Av.",16,1
188,373 - Jorgelina De Simone,-34.6239,-58.3912,Cochabamba 1799,24,1
189,189 - POSADAS,-34.5887,-58.3852,1350 Posadas,20,1
190,190 - JUNCAL,-34.5851,-58.4111,"Juncal & Salguero, Jeronimo",20,1
191,191 - Rivadavia y 9 de Julio,-34.6079,-58.3808,Pellegrini Y Rivadavia Av.,16,1
193,193 - ARENALES Y AGUERO,-34.5909,-58.4062,Arenales y Aguero,20,1
194,194 - PERÓN Y ACUÑA DE FIGUEROA,-34.6061,-58.4225,3997 TTE. GENERAL JUAN DOMINGO PERON,16,1
196,196 - HOSPITAL ARGERICH,-34.6278,-58.366,750 Pi y Margall,20,1
197,197 - PLAZA CIUDAD DE UDINE,-34.621,-58.493,Mercedes 1480,19,0
199,199 - ESTADOS UNIDOS Y BOEDO,-34.6223,-58.416,3568 Estados Unidos & Boedo Av.,20,1
200,200 - AUSTRIA Y FRENCH,-34.5883,-58.4043,Austria 2075,16,1
202,001 - FACULTAD DE DERECHO,-34.5837,-58.3906,Av. Pres. Figueroa Alcorta 2120,30,1
203,108 - Usina del Arte,-34.6288,-58.3563,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",24,1
204,167 - Hipólito Yrigoyen,-34.6149,-58.4278,"4300 Yrigoyen, Hipolito Av.",24,1
206,159 - Fitz Roy & Gorriti,-34.585,-58.4373,Fitz Roy & Gorriti,16,1
207,123 - BASUALDO Y RODO,-34.6524,-58.4874,Guardia Nacional 1700,16,1
208,145 - RAVIGNANI,-34.5807,-58.4384,EMILIO RAVIGNANI 1802,20,1
