station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
148,13,2,1,0,1726438106,False,IN_SERVICE,1,1,1,,13,0
149,2,1,13,0,1726438071,False,IN_SERVICE,1,1,1,,2,0
150,22,0,14,0,1726438086,False,IN_SERVICE,1,1,1,,22,0
152,21,0,7,0,1726438207,False,IN_SERVICE,1,1,1,,21,0
153,2,0,18,0,1726438046,False,IN_SERVICE,1,1,1,,2,0
155,9,1,2,0,1726438142,False,IN_SERVICE,1,1,1,,9,0
156,9,4,7,0,1726438087,False,IN_SERVICE,1,1,1,,9,0
158,12,2,6,0,1726438103,False,IN_SERVICE,1,1,1,,12,0
161,4,1,15,0,1726438211,False,IN_SERVICE,1,1,1,,4,0
162,0,1,19,0,1726438121,False,IN_SERVICE,1,1,1,,0,0
163,18,0,11,1,1726438110,False,IN_SERVICE,1,1,1,,18,0
164,4,2,14,0,1726438058,False,IN_SERVICE,1,1,1,,4,0
165,0,0,12,0,1726438123,False,IN_SERVICE,1,1,1,,0,0
166,0,2,10,0,1726438178,False,IN_SERVICE,1,1,1,,0,0
167,15,0,9,0,1726438137,False,IN_SERVICE,1,1,1,,15,0
168,4,1,14,0,1726438074,False,IN_SERVICE,1,1,1,,4,0
169,3,1,16,0,1726438080,False,IN_SERVICE,1,1,1,,3,0
171,4,0,16,0,1726438219,False,IN_SERVICE,1,1,1,,4,0
172,4,0,12,0,1726438205,False,IN_SERVICE,1,1,1,,4,0
174,2,1,17,0,1726438189,False,IN_SERVICE,1,1,1,,2,0
175,23,0,31,0,1726438060,False,IN_SERVICE,1,1,1,,23,0
176,3,0,13,0,1726438137,False,IN_SERVICE,1,1,1,,3,0
177,6,0,6,0,1726438191,False,IN_SERVICE,1,1,1,,6,0
179,12,2,2,0,1726438095,False,IN_SERVICE,1,1,1,,12,0
181,5,0,15,0,1726438179,False,IN_SERVICE,1,1,1,,5,0
182,4,0,16,0,1726438100,False,IN_SERVICE,1,1,1,,4,0
183,13,1,14,0,1726438197,False,IN_SERVICE,1,1,1,,13,0
184,3,0,17,0,1726438088,False,IN_SERVICE,1,1,1,,3,0
186,8,0,12,0,1726438180,False,IN_SERVICE,1,1,1,,8,0
187,13,0,3,0,1726438187,False,IN_SERVICE,1,1,1,,13,0
