station_id,name,lat,lon,address,capacity,start_date,end_date,current
63,063 - Reconquista,-34.59977772506695,-58.37468663054962,Viamonte 555,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
64,064 - RIOBAMBA,-34.5936508,-58.3941087,Riobamba 1264 & Juncal,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
65,065 - Julián Álvarez,-34.5873124,-58.4157873,3822 Guemes,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
66,066 - Billinghurst,-34.5945475,-58.4138713,3508 Carcova,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
68,105 - PARQUE SAAVEDRA,-34.552148,-58.480464,García del Río 3590,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
69,069 - Ecuador,-34.5961006,-58.4046092,"1226 Ecuador & Mansilla, Lucio Norberto, General",16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
70,070 - ARAOZ,-34.5926862,-58.4260597,1413 Araoz & Gorriti CABA,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
71,071 - CERRITO,-34.6026673,-58.3833559,Libertad & lavalle,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
73,073 - Ruy Díaz de Guzmán,-34.6306814,-58.3718235,Avenida Martin Garcia y Ruy Díaz de Guzmán,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
74,074 - INSTITUTO LELOIR,-34.60439,-58.43454,Juana De Ibarbourou & Av Patricias Argentinas,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
75,075 - Plaza Primero de Mayo,-34.6122976,-58.3989871,238 Pichincha,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
76,076 - Ayacucho,-34.6074084,-58.3950548,"Ayacucho &Peron, Juan Domingo, Tte. General",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
77,109 - ESTACION PUEYRREDON,-34.581135,-58.501487,Bolivia 5071,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
79,079 - AZUCENA VILLAFLOR,-34.61189,-58.36393,"Villaflor, Azucena & Dealessi, Pierina",30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
80,080 - VALLE,-34.6245807,-58.43412319999999,Valle 486,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
82,082 - HOSPITAL ITALIANO,-34.6078917,-58.4263947,394 Rawson & Potosi,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
83,083 - Paraná,-34.603269,-58.3893728,1590 Lavalle,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
85,085 - AGUERO,-34.5948057,-58.4091784,"Aguero & Mansilla, Lucio Norberto, General",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
86,086 - SAAVEDRA,-34.6212681,-58.4016808,1019 Saavedra,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
87,087 - Guayaquil,-34.619845,-58.4314942,Guayaquil & Doblas,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
89,089 - Cabello,-34.5825475,-58.4056671,3082 Cabello,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
91,091 - Pasco,-34.6174482,-58.397602,708 Pasco & Chile,23,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.080705,0
92,092 - Salcedo,-34.6316444,-58.4053386,2908 Salcedo & Dean Funes,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
93,093 - CARLOS CALVO,-34.620798,-58.3944635,Sarandi 1010,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
94,094 - GÚZMAN,-34.591511,-58.449652,Av Guzman 129 & Leiva,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
96,096 - Carlos Gardel,-34.6027814,-58.4116586,3302 Guardia Vieja & Aguero,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
98,037- Claudia Pía Baudracco,-34.6081643,-58.3779002,Esmeralda y Rivadavia,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
99,099 - Malabia,-34.5960961,-58.435408,780 Malabia & Loyola,19,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
101,101 - Fitz Roy,-34.5891857,-58.4424397,Fitz Roy  1092 & Loyola,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
102,102 - ROSETI,-34.5851209,-58.4492989,ROSETI 390,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
104,104 - Federico Lacroze,-34.587617,-58.455212,Av. Guzman 1100 & Av. Corrientes,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
107,107 - HOSPITAL GARRAHAN,-34.63037718,-58.395844,Brasil 2290,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
111,111 - MACACHA GUEMES,-34.6054877,-58.3646858,Macacha Guemes 350,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
112,112 - 9 de Julio,-34.612075,-58.380384,Bernardo Irigoyen 320,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
114,114 - TORRE MACRO,-34.59398891976011,-58.37142444536896, Av. Eduardo Madero 1180,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
116,116 - HOSPITAL ALEMÁN,-34.5921708,-58.4025894,Beruti & Ecuador,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.081166,0
117,117 - HUMBERTO 1°,-34.61955283137281,-58.373159304761074,Av. Carlos Calvo 513,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097325,0
118,118 - MEXICO,-34.6170196,-58.4026531,Saavedra & Mexico,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
120,120 - HOSPITAL RAMOS MEJIA,-34.617509,-58.4092876,3084 Agrelo,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
121,121 - YATAY,-34.6011732,-58.4285093,925 Yatay& Humahuaca,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
122,122 - COSTA RICA,-34.5915614,-58.41981629999999,COSTA RICA 4060,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
124,124 - UGARTECHE,-34.580538,-58.411965,3050 Ugarteche,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
126,126 - Ministerio de Justicia y Seguridad,-34.63922546953217,-58.36958898591383,Olavarría 1201,15,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
128,128 - PARQUE DEL BAJO,-34.60515159,-58.36882117,Tte. Gral. Juan Domingo Perón 133,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
130,130 - RETIRO II,-34.5917376,-58.37436403,Av. Dr. José María Ramos Mejía 1350,40,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
131,131- HOSPITAL DE CLÍNICAS,-34.5984043,-58.3990158,"Uriburu Jose E., Pres. & Paraguay",16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
132,132 - CORRIENTES,-34.6033685,-58.372763,Reconquista & Corrientes Av.,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
134,134 - SOLDADO DE LA FRONTERA,-34.683188,-58.468952,Ana Díaz 5899,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
135,135 - MARCELO T. DE ALVEAR,-34.5976425,-58.378363,Esmeralda & Paraguay,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
137,137 - AZOPARDO Y CHILE,-34.6155977,-58.3674923,AZOPARDO 700,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
138,138 - Hospital Britanico,-34.6353595,-58.3876724,153 Perdriel,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
144,144 - PUEYRREDÓN,-34.6018744,-58.4060944,684 Boulogne Sur Mer & Tucuman,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.097727,0
146,146 - Hospital Francés,-34.6221118,-58.4078419,"3024 Calvo, Carlos",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.112830,0
148,323 - Parque Avellaneda II,-34.6451767192088,-58.484555279762255,Av. Directorio 4295 ,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.113531,0
149,149 - LIMA,-34.6153266,-58.3813642,México & Lima,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.113531,0
150,150 - RODRIGO BUENO,-34.6187547,-58.3554654,Av. España 2200,36,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
152,152 - JULIETA LANTERI,-34.6181645,-58.3596311,"Vera Peñaloza, Rosario 599 & Lanteri Julieta",28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
153,153 - JUAN MANUEL DE BLANES,-34.6310284,-58.36288800000001,Av. Almirante Brown 653,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
155,155 - Parque José Evaristo Uriburu,-34.645082199430064,-58.41749173359584, Quilmes 491,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
156,156 - Plaza Alemania,-34.5775895,-58.4074696,2939 Cavia,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
158,158 - VILLARROEL,-34.592735,-58.4450697,1321 Villarroel & Humboldt CABA,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
161,161 - Humahuaca,-34.6020779,-58.4196761,3912 Humahuaca,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
162,162 - LARREA Y BARTOLOMÉ MITRE,-34.608985,-58.401924,80 Larrea,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
163,163 - ONCE II,-34.6095663,-58.4064308,Bartolome Mitre & Av. Puyrredon,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
164,164 - FACULTAD DE INGENIERIA,-34.617301,-58.3698984,AV. PASEO COLÓN 811,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
165,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,-34.597048,-58.407614,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
166,166 - Cementerio de Recoleta,-34.588346663239754,-58.39414794286565,Vicente López 2100,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
167,275 - PLAZA 24 DE SEPTIEMBRE,-34.606984,-58.44854,1355 San Martin Av.,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
168,168 - Estados Unidos,-34.6186217,-58.3812271,Estados Unidos & Lima,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
171,171 - Pasteur,-34.6032813,-58.3997553,519 Pasteur,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
172,172 - BRASIL,-34.625426,-58.371082,BRASIL&DEFENSA,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.115545,0
174,174 - MINISTERIO DE EDUCACION,-34.597225,-58.391768,Marcelo T. de Alvear & Rodriguez Peña,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.130899,0
175,147 - Constitución,-34.626851,-58.380707,Avenida Juan de Garay 1050,54,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
176,067 - PARQUE SARMIENTO I,-34.555254,-58.494845,Av. Dr. Ricardo Balbín 4402,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
177,177 -PLANETARIO,-34.568165,-58.412121,Av Casares y Av Belisario Roldan,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
