last_refresh,station_id,perc_libres
2024-09-20 18:58:34.529606,2,0.1
2024-09-20 18:58:34.529606,3,0.0
2024-09-20 18:58:34.529606,4,0.15
2024-09-20 18:58:34.529606,5,0.023809523809523808
2024-09-20 18:58:34.529606,6,0.15
2024-09-20 18:58:34.529606,7,0.08333333333333333
2024-09-20 18:58:34.529606,8,0.041666666666666664
2024-09-20 18:58:34.529606,9,0.08333333333333333
2024-09-20 18:58:34.529606,12,0.0625
2024-09-20 18:58:34.529606,13,0.03333333333333333
2024-09-20 18:58:34.529606,14,0.23333333333333334
2024-09-20 18:58:34.529606,17,0.35
2024-09-20 18:58:34.529606,21,0.8260869565217391
2024-09-20 18:58:34.529606,22,0.05
2024-09-20 18:58:34.529606,24,0.0
2024-09-20 18:58:34.529606,25,0.06666666666666667
2024-09-20 18:58:34.529606,26,0.0
2024-09-20 18:58:34.529606,27,0.05
2024-09-20 18:58:34.529606,29,0.3103448275862069
2024-09-20 18:58:34.529606,32,0.0
2024-09-20 18:58:34.529606,33,0.05
2024-09-20 18:58:34.529606,35,0.0
2024-09-20 18:58:34.529606,36,0.0
2024-09-20 18:58:34.529606,38,0.0
2024-09-20 18:58:34.529606,41,0.15
2024-09-20 18:58:34.529606,43,0.25
2024-09-20 18:58:34.529606,44,0.05
2024-09-20 18:58:34.529606,45,0.0
2024-09-20 18:58:34.529606,46,0.3888888888888889
2024-09-20 18:58:34.529606,48,0.0625
2024-09-20 18:58:34.529606,49,0.5625
2024-09-20 18:58:34.529606,50,0.65
2024-09-20 18:58:34.529606,54,0.15
2024-09-20 18:58:34.529606,56,0.0
2024-09-20 18:58:34.529606,57,0.0
2024-09-20 18:58:34.529606,58,0.0
2024-09-20 18:58:34.529606,59,0.05
2024-09-20 18:58:34.529606,60,0.4
2024-09-20 18:58:34.529606,61,0.2727272727272727
2024-09-20 18:58:34.529606,63,0.0
2024-09-20 18:58:34.529606,64,0.05
2024-09-20 18:58:34.529606,65,0.2
2024-09-20 18:58:34.529606,66,0.1
2024-09-20 18:58:34.529606,68,0.6875
2024-09-20 18:58:34.529606,69,0.0
2024-09-20 18:58:34.529606,70,0.16666666666666666
2024-09-20 18:58:34.529606,71,0.06666666666666667
2024-09-20 18:58:34.529606,73,0.9
2024-09-20 18:58:34.529606,74,0.3
2024-09-20 18:58:34.529606,75,0.05
2024-09-20 18:58:34.529606,76,0.0
2024-09-20 18:58:34.529606,77,0.0
2024-09-20 18:58:34.529606,79,0.2
2024-09-20 18:58:34.529606,80,0.08333333333333333
2024-09-20 18:58:34.529606,82,0.35
2024-09-20 18:58:34.529606,83,0.03571428571428571
2024-09-20 18:58:34.529606,85,0.1
2024-09-20 18:58:34.529606,86,0.65
2024-09-20 18:58:34.529606,87,0.0
2024-09-20 18:58:34.529606,89,0.0
2024-09-20 18:58:34.529606,91,0.125
2024-09-20 18:58:34.529606,92,0.4
2024-09-20 18:58:34.529606,93,0.1
2024-09-20 18:58:34.529606,94,0.06896551724137931
2024-09-20 18:58:34.529606,96,0.1875
2024-09-20 18:58:34.529606,98,0.0
2024-09-20 18:58:34.529606,99,0.15
