station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,cross_street
44,044 - Ecoparque,SMARTLITMAPFRAME,-34.5755,-58.4139,0.0,"Av. Del Libertador, 3260",111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
45,045 - Uruguay,SMARTLITMAPFRAME,-34.6019,-58.3867,0.0,561 Uruguay & Av. Tucuman,111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
46,046 - Chile,SMARTLITMAPFRAME,-34.6164,-58.3744,0.0,Perú 718,C1068,18,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,
48,034 - Colonia Express,SMARTLITMAPFRAME,-34.6236,-58.3632,,Elvira Rawson de Dellepiane 150,C1107,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1000.0,True,paseo del bajo
49,049 - 33 Orientales,SMARTLITMAPFRAME,-34.6292,-58.4248,0.0,Constitución 4288,C1254,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOEDO'],,,1000.0,True,
50,050 - Hospital Rivadavia,SMARTLITMAPFRAME,-34.5837,-58.4011,,2516 Pereyra Lucena,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,Pereyra Lucena & Av. General Las Heras
54,054 - Acuña de Figueroa,SMARTLITMAPFRAME,-34.5982,-58.4221,0.0,Lavalle 4015,C1190,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,Acuña de Figueroa y Lavalle
56,056 - Plaza Palermo Viejo,SMARTLITMAPFRAME,-34.5886,-58.426,0.0,Costa Rica & Armenia,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
57,057 - BELGRANO,SMARTLITMAPFRAME,-34.6132,-58.3706,,Balcarce 482,C1064,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1000.0,True,.
58,058 - Ministro Carranza,SMARTLITMAPFRAME,-34.5753,-58.4347,0.0,Santa Fe Av. & Dorrego,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
59,018 - Independencia,SMARTLITMAPFRAME,-34.6177,-58.3806,,Idependencia y Bernardo de Irigoyen,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,
60,060 - 25 De Mayo,SMARTLITMAPFRAME,-34.6017,-58.3711,,527 25 De Mayo,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,25 De Mayo & Lavalle
61,098 - BENITO JUAREZ,SMARTLITMAPFRAME,-34.6189,-58.5052,0.0, Benito Juarez 2231,C1417,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONTE CASTRO'],,,1000.0,True,
63,063 - Reconquista,SMARTLITMAPFRAME,-34.5998,-58.3747,0.0,Viamonte 555,C1053,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
64,064 - RIOBAMBA,SMARTLITMAPFRAME,-34.5937,-58.3941,,Riobamba 1264 & Juncal,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,Riobamba 1264 & Juncal
65,065 - Julián Álvarez,SMARTLITMAPFRAME,-34.5873,-58.4158,,3822 Guemes,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,Guemes & Julian Alvarez
66,066 - Billinghurst,SMARTLITMAPFRAME,-34.5945,-58.4139,,3508 Carcova,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,De La Carcova & Soler
68,105 - PARQUE SAAVEDRA,SMARTLITMAPFRAME,-34.5521,-58.4805,,García del Río 3590,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAAVEDRA'],-,-,1000.0,True,García del Río 3590
69,069 - Ecuador,SMARTLITMAPFRAME,-34.5961,-58.4046,0.0,"1226 Ecuador & Mansilla, Lucio Norberto, General",111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,
70,070 - ARAOZ,SMARTLITMAPFRAME,-34.5927,-58.4261,,1413 Araoz & Gorriti CABA,1111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
71,071 - CERRITO,SMARTLITMAPFRAME,-34.6027,-58.3834,,Libertad & lavalle,11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,Av Pres. Roque Saenz Peña 1194
73,073 - Ruy Díaz de Guzmán,SMARTLITMAPFRAME,-34.6307,-58.3718,0.0,Avenida Martin Garcia y Ruy Díaz de Guzmán,1111111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOCA'],,,1000.0,True,
74,074 - INSTITUTO LELOIR,SMARTLITMAPFRAME,-34.6044,-58.4345,,Juana De Ibarbourou & Av Patricias Argentinas,1111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CABALLITO'],,,1000.0,True,
75,075 - Plaza Primero de Mayo,SMARTLITMAPFRAME,-34.6123,-58.399,0.0,238 Pichincha,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,
