station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
196,2,2,16,0,1729015210,False,IN_SERVICE,1,1,1,,2,0
197,14,1,5,0,1729015135,False,IN_SERVICE,1,1,1,,14,0
199,4,0,16,0,1729015065,False,IN_SERVICE,1,1,1,,4,0
200,8,1,7,0,1729015184,False,IN_SERVICE,1,1,1,,8,0
202,19,3,8,0,1729015187,False,IN_SERVICE,1,1,1,,19,0
203,2,1,21,0,1728969039,False,IN_SERVICE,1,1,1,,2,0
204,1,1,22,0,1729015157,False,IN_SERVICE,1,1,1,,1,0
206,14,2,0,0,1729015216,False,IN_SERVICE,1,1,1,,14,0
207,10,0,6,0,1729015215,False,IN_SERVICE,1,1,1,,10,0
208,17,0,3,0,1729015144,False,IN_SERVICE,1,1,1,,17,0
210,13,6,1,0,1729015208,False,IN_SERVICE,1,1,1,,13,0
212,4,1,15,0,1729015102,False,IN_SERVICE,1,1,1,,4,0
213,19,1,0,0,1729015070,False,IN_SERVICE,1,1,1,,19,0
215,9,5,6,0,1729015096,False,IN_SERVICE,1,1,1,,9,0
216,1,1,18,0,1729015133,False,IN_SERVICE,1,1,1,,1,0
219,16,1,7,0,1729015129,False,IN_SERVICE,1,1,1,,16,0
220,9,2,5,0,1729015135,False,IN_SERVICE,1,1,1,,9,0
222,6,0,14,0,1729015066,False,IN_SERVICE,1,1,1,,6,0
223,5,1,10,0,1729015167,False,IN_SERVICE,1,1,1,,5,0
227,4,1,15,0,1729015072,False,IN_SERVICE,1,1,1,,4,0
228,4,3,9,0,1729015180,False,IN_SERVICE,1,1,1,,4,0
229,0,1,11,1,1729015223,False,IN_SERVICE,1,1,1,,0,0
230,2,5,9,1,1729015215,False,IN_SERVICE,1,1,1,,2,0
232,3,0,17,0,1729015114,False,IN_SERVICE,1,1,1,,3,0
234,9,0,11,0,1729015151,False,IN_SERVICE,1,1,1,,9,0
235,6,0,17,0,1729015180,False,IN_SERVICE,1,1,1,,6,0
236,2,2,12,0,1729015078,False,IN_SERVICE,1,1,1,,2,0
237,3,0,13,1,1729015126,False,IN_SERVICE,1,1,1,,3,0
239,12,2,6,0,1729015223,False,IN_SERVICE,1,1,1,,12,0
241,1,2,9,0,1729015198,False,IN_SERVICE,1,1,1,,1,0
242,28,1,3,0,1729015089,False,IN_SERVICE,1,1,1,,28,0
245,13,1,2,0,1729015225,False,IN_SERVICE,1,1,1,,13,0
247,3,3,12,0,1729015128,False,IN_SERVICE,1,1,1,,3,0
248,0,1,23,0,1729015162,False,IN_SERVICE,1,1,1,,0,0
251,11,1,0,0,1729015171,False,IN_SERVICE,1,1,1,,11,0
252,4,1,19,1,1729015218,False,IN_SERVICE,1,1,1,,4,0
253,1,0,15,0,1729015068,False,IN_SERVICE,1,1,1,,1,0
254,4,1,11,0,1729015230,False,IN_SERVICE,1,1,1,,4,0
255,4,0,16,0,1729015183,False,IN_SERVICE,1,1,1,,4,0
257,18,0,6,0,1729015081,False,IN_SERVICE,1,1,1,,18,0
258,1,1,14,0,1729015086,False,IN_SERVICE,1,1,1,,1,0
259,9,1,7,0,1729015195,False,IN_SERVICE,1,1,1,,9,0
260,5,2,5,0,1729015187,False,IN_SERVICE,1,1,1,,5,0
261,3,2,11,0,1729015123,False,IN_SERVICE,1,1,1,,3,0
262,4,5,7,0,1729015087,False,IN_SERVICE,1,1,1,,4,0
263,10,6,4,0,1729015243,False,IN_SERVICE,1,1,1,,10,0
264,1,1,14,0,1729015236,False,IN_SERVICE,1,1,1,,1,0
265,24,1,3,0,1729015128,False,IN_SERVICE,1,1,1,,24,0
267,0,0,16,0,1729015216,False,IN_SERVICE,1,1,1,,0,0
268,3,0,32,0,1729015218,False,IN_SERVICE,1,1,1,,3,0
269,9,0,9,0,1729015158,False,IN_SERVICE,1,1,1,,9,0
270,19,1,8,0,1729015135,False,IN_SERVICE,1,1,1,,19,0
271,7,1,12,0,1729015166,False,IN_SERVICE,1,1,1,,7,0
273,1,2,13,0,1729015202,False,IN_SERVICE,1,1,1,,1,0
275,3,2,15,0,1729015239,False,IN_SERVICE,1,1,1,,3,0
277,16,1,1,0,1729015240,False,IN_SERVICE,1,1,1,,16,0
278,0,1,15,0,1729015131,False,IN_SERVICE,1,1,1,,0,0
280,0,0,28,0,1729015095,False,IN_SERVICE,1,1,1,,0,0
281,15,2,7,0,1729015214,False,IN_SERVICE,1,1,1,,15,0
284,7,2,11,0,1729015222,False,IN_SERVICE,1,1,1,,7,0
289,7,2,15,0,1729015093,False,IN_SERVICE,1,1,1,,7,0
291,1,1,14,0,1729015150,False,IN_SERVICE,1,1,1,,1,0
299,3,0,17,0,1729015112,False,IN_SERVICE,1,1,1,,3,0
301,17,1,2,0,1729015146,False,IN_SERVICE,1,1,1,,17,0
302,1,0,15,0,1729015237,False,IN_SERVICE,1,1,1,,1,0
304,10,3,7,0,1729015202,False,IN_SERVICE,1,1,1,,10,0
307,2,2,8,0,1729015099,False,IN_SERVICE,1,1,1,,2,0
308,5,4,19,0,1729015160,False,IN_SERVICE,1,1,1,,5,0
309,10,1,5,0,1729015147,False,IN_SERVICE,1,1,1,,10,0
310,6,0,7,0,1729015163,False,IN_SERVICE,1,1,1,,6,0
311,8,0,8,0,1729015201,False,IN_SERVICE,1,1,1,,8,0
316,4,2,21,1,1729015201,False,IN_SERVICE,1,1,1,,4,0
318,5,2,13,0,1729015079,False,IN_SERVICE,1,1,1,,5,0
322,3,2,15,0,1729015210,False,IN_SERVICE,1,1,1,,3,0
323,8,3,13,0,1729015162,False,IN_SERVICE,1,1,1,,8,0
324,5,2,9,0,1729015149,False,IN_SERVICE,1,1,1,,5,0
327,5,6,1,0,1729015117,False,IN_SERVICE,1,1,1,,5,0
329,7,2,11,0,1729013646,False,IN_SERVICE,1,1,1,,7,0
330,18,0,2,0,1729015166,False,IN_SERVICE,1,1,1,,18,0
333,2,0,18,0,1729015152,False,IN_SERVICE,1,1,1,,2,0
335,20,0,8,0,1729015101,False,IN_SERVICE,1,1,1,,20,0
336,9,1,18,0,1728958333,False,IN_SERVICE,1,1,1,,9,0
340,6,0,14,0,1729015131,False,IN_SERVICE,1,1,1,,6,0
342,12,3,5,0,1729015065,False,IN_SERVICE,1,1,1,,12,0
348,8,1,3,0,1729015209,False,IN_SERVICE,1,1,1,,8,0
349,0,0,16,0,1729015113,False,IN_SERVICE,1,1,1,,0,0
353,19,3,6,0,1729015229,False,IN_SERVICE,1,1,1,,19,0
355,0,1,15,0,1729015167,False,IN_SERVICE,1,1,1,,0,0
358,2,1,17,0,1729015098,False,IN_SERVICE,1,1,1,,2,0
359,4,1,15,0,1729015190,False,IN_SERVICE,1,1,1,,4,0
361,0,1,19,0,1729015070,False,IN_SERVICE,1,1,1,,0,0
362,1,1,10,0,1729015209,False,IN_SERVICE,1,1,1,,1,0
363,14,1,1,1,1729015067,False,IN_SERVICE,1,1,1,,14,0
364,5,2,21,0,1729015235,False,IN_SERVICE,1,1,1,,5,0
366,4,1,7,0,1729015189,False,IN_SERVICE,1,1,1,,4,0
367,8,1,7,0,1729015156,False,IN_SERVICE,1,1,1,,8,0
368,9,0,3,0,1729015074,False,IN_SERVICE,1,1,1,,9,0
369,1,1,14,0,1729015080,False,IN_SERVICE,1,1,1,,1,0
370,12,2,6,0,1729015182,False,IN_SERVICE,1,1,1,,12,0
371,2,6,4,0,1729015189,False,IN_SERVICE,1,1,1,,2,0
372,4,1,15,0,1729015087,False,IN_SERVICE,1,1,1,,4,0
373,5,1,14,1,1729015239,False,IN_SERVICE,1,1,1,,5,0
374,11,1,4,0,1729015064,False,IN_SERVICE,1,1,1,,11,0
375,1,1,14,0,1729015135,False,IN_SERVICE,1,1,1,,1,0
376,0,6,18,0,1729015189,False,IN_SERVICE,1,1,1,,0,0
378,4,4,12,0,1729015242,False,IN_SERVICE,1,1,1,,4,0
